family_id,country,doc_number,kind,title,abstract,publication_date,keywords,category,keyword,doc_id,full_text,title_word_count,abstract_word_count,has_abstract,has_usable_text,pub_year,pub_month,pub_quarter,kind_category,family_size,is_first_in_family
100310554,DE,102025100779,A1,"Verwenden, Brühkapsel und Siebträgermaschine","Gemäß verschiedenen Ausführungsformen erfolgt ein Verwenden einer Siebträgermaschine zum Aufbrühen eines von Kaffee verschiedenen Brühguts, das in einem Siebträger der Siebträgermaschine aufgenommen ist.",2026-07-16,['espresso machine'],espresso_machine,espresso machine,DE102025100779A1,"Verwenden, Brühkapsel und Siebträgermaschine Gemäß verschiedenen Ausführungsformen erfolgt ein Verwenden einer Siebträgermaschine zum Aufbrühen eines von Kaffee verschiedenen Brühguts, das in einem Siebträger der Siebträgermaschine aufgenommen ist.",4,23,True,True,2026,7,3,application,1,True
100489058,US,20260203678,A1,METHOD TO DETERMINE QUALITATIVE RESOURCE ALLOCATION FOR HVAC COMPONENT SUSTAINMENT,"A method of allocating resources for infrastructure sustainment. The method uses the steps of compiling environmental factors for predetermined locations having component of interest. The degradation of that component over time is also determined, to yield a degradation rate. The environmental factors are correlated with the degradation rates of the various components. A Gini index is used to determine which environmental factor has the greatest impact on a particular component category or location. Resources can then be allocated to that environmental factor, component category and/or component location.",2026-07-16,['air purifier'],air_purifier,air purifier,US20260203678A1,"METHOD TO DETERMINE QUALITATIVE RESOURCE ALLOCATION FOR HVAC COMPONENT SUSTAINMENT A method of allocating resources for infrastructure sustainment. The method uses the steps of compiling environmental factors for predetermined locations having component of interest. The degradation of that component over time is also determined, to yield a degradation rate. The environmental factors are correlated with the degradation rates of the various components. A Gini index is used to determine which environmental factor has the greatest impact on a particular component category or location. Resources can then be allocated to that environmental factor, component category and/or component location.",10,87,True,True,2026,7,3,application,1,True
98517486,US,20260205190,A1,METHODS FOR ON-DEMAND BEAM TRAINING WITH MECHANICALLY MOVEABLE PANELS,"A method for wireless communication at a user equipment (UE) and related apparatus are provided. In the method, the UE transmits a request for a beam training session to a network entity in response to a displacement condition being met. The displacement condition is associated with a relative movement of the first antenna panel of the UE with respect to the second antenna panel of the UE. The UE then performs the beam training session with the network entity based on the request.",2026-07-16,['small kitchen appliance'],compact_size,small kitchen appliance,US20260205190A1,"METHODS FOR ON-DEMAND BEAM TRAINING WITH MECHANICALLY MOVEABLE PANELS A method for wireless communication at a user equipment (UE) and related apparatus are provided. In the method, the UE transmits a request for a beam training session to a network entity in response to a displacement condition being met. The displacement condition is associated with a relative movement of the first antenna panel of the UE with respect to the second antenna panel of the UE. The UE then performs the beam training session with the network entity based on the request.",9,83,True,True,2026,7,3,application,1,True
98732644,US,20260200474,A1,DRIVE SCENE TOPOLOGY ESTIMATION,"[0000] Aspects presented herein may improve the overall performance of assisted/autonomous driving systems by providing an improved drive scene topology estimation for the assisted/autonomous driving systems. In one aspect, a UE obtains geometric information and semantic information for each traffic object in a set of traffic objects. The UE combines the geometric information and the semantic information of each traffic object in the set of traffic objects into a single vector sequence to obtain a set of single vector sequences for the set of traffic objects. The UE estimates a relative importance for each single vector sequence in the set of single vector sequences. The UE performs at least one drive scene topology task based on the estimated relative importance for each single vector sequence in the set of single vector sequences.",2026-07-16,['small kitchen appliance'],compact_size,small kitchen appliance,US20260200474A1,"DRIVE SCENE TOPOLOGY ESTIMATION [0000] Aspects presented herein may improve the overall performance of assisted/autonomous driving systems by providing an improved drive scene topology estimation for the assisted/autonomous driving systems. In one aspect, a UE obtains geometric information and semantic information for each traffic object in a set of traffic objects. The UE combines the geometric information and the semantic information of each traffic object in the set of traffic objects into a single vector sequence to obtain a set of single vector sequences for the set of traffic objects. The UE estimates a relative importance for each single vector sequence in the set of single vector sequences. The UE performs at least one drive scene topology task based on the estimated relative importance for each single vector sequence in the set of single vector sequences.",4,132,True,True,2026,7,3,application,1,True
98825403,US,20260205528,A1,DYNAMIC HEADER INDICATION AND FORMAT,"[0000] Certain aspects of the present disclosure provide techniques for dynamic header indication and format. An example method, performed at a wireless node, generally includes selecting a header format, from a set of header formats wherein each header format is defined by one or more different sub-headers, and transmitting a packet having a header in accordance with the selected header format.",2026-07-16,['small kitchen appliance'],compact_size,small kitchen appliance,US20260205528A1,"DYNAMIC HEADER INDICATION AND FORMAT [0000] Certain aspects of the present disclosure provide techniques for dynamic header indication and format. An example method, performed at a wireless node, generally includes selecting a header format, from a set of header formats wherein each header format is defined by one or more different sub-headers, and transmitting a packet having a header in accordance with the selected header format.",5,61,True,True,2026,7,3,application,1,True
100489563,US,20260199815,A1,SMART AIR PURIFIER AND A METHOD THEREOF,"This disclosure relates to a smart air purifier and a method thereof. The air purifier includes a drive assembly configured to move a movable base along at least two vertical supports. The air purifier includes a filter assembly including a set of filters arranged telescopically within the structural frame. Topmost filter is movably coupled to the movable base. The air purifier includes a bellow coupled to the movable base. The bellow includes two distinguishable regions. When the movable base moves along the at least two vertical supports, based on direction of movement of the movable base, one of the two distinguishable regions is configured to expand and another is configured to retract. The air purifier includes a controller configured to cause the drive assembly to move the movable base based on an input signal received from at least one of air quality sensor or user device.",2026-07-16,['air purifier'],air_purifier,air purifier,US20260199815A1,"SMART AIR PURIFIER AND A METHOD THEREOF This disclosure relates to a smart air purifier and a method thereof. The air purifier includes a drive assembly configured to move a movable base along at least two vertical supports. The air purifier includes a filter assembly including a set of filters arranged telescopically within the structural frame. Topmost filter is movably coupled to the movable base. The air purifier includes a bellow coupled to the movable base. The bellow includes two distinguishable regions. When the movable base moves along the at least two vertical supports, based on direction of movement of the movable base, one of the two distinguishable regions is configured to expand and another is configured to retract. The air purifier includes a controller configured to cause the drive assembly to move the movable base based on an input signal received from at least one of air quality sensor or user device.",7,146,True,True,2026,7,3,application,1,True
100488936,US,20260203116,A1,DYNAMIC ENHANCEMENT OF ENERGY CONSUMPTION OF DISAGGREGATED RADIO ACCESS NETWORK FOR BASE-BAND PROCESSING,"[0000] Management of processing unit cores (PUCs) of RAN can be enhanced. Processor manager (PM) can determine conditions relating to attributes based on attribute information from monitoring attributes associated with RAN. Based on conditions, condition trend, or predicted conditions, PM can determine whether modification is to be made to PUC allocation or operational states to ensure QoS associated with RAN can be satisfied with lowest RAN energy consumption. If PM determines that increase modification to increase number of PUCs allocated or operational states of PUCs can be desired to satisfy QoS, PM can perform increase modification wherein RAN can have lowest energy consumption while satisfying QoS. If PM determines that decrease modification can be performed to decrease number of PUCs allocated or operational states of PUCs to reduce RAN energy consumption while satisfying QoS, PM can perform decrease modification wherein RAN can have lowest energy consumption while satisfying QoS.",2026-07-16,['coffee maker'],espresso_machine,coffee maker,US20260203116A1,"DYNAMIC ENHANCEMENT OF ENERGY CONSUMPTION OF DISAGGREGATED RADIO ACCESS NETWORK FOR BASE-BAND PROCESSING [0000] Management of processing unit cores (PUCs) of RAN can be enhanced. Processor manager (PM) can determine conditions relating to attributes based on attribute information from monitoring attributes associated with RAN. Based on conditions, condition trend, or predicted conditions, PM can determine whether modification is to be made to PUC allocation or operational states to ensure QoS associated with RAN can be satisfied with lowest RAN energy consumption. If PM determines that increase modification to increase number of PUCs allocated or operational states of PUCs can be desired to satisfy QoS, PM can perform increase modification wherein RAN can have lowest energy consumption while satisfying QoS. If PM determines that decrease modification can be performed to decrease number of PUCs allocated or operational states of PUCs to reduce RAN energy consumption while satisfying QoS, PM can perform decrease modification wherein RAN can have lowest energy consumption while satisfying QoS.",13,149,True,True,2026,7,3,application,1,True
100489562,US,20260199816,A1,Air Purification System,"The air purification system has a cement base, and the main metal base housing of the filter system holds up the upper structure. The base may also have elevator access for workers to use for any repair work easily. Above the main base may be long cylinder connector pieces that connect many stories tall for the air to be cleaned at higher levels. Located at the top of the long cylinder connectors is the air purification system that cleans the entire area. Housed inside may be a jet-like vacuum powered fan that pulls in all the polluted and unfiltered air.",2026-07-16,['air purifier'],air_purifier,air purifier,US20260199816A1,"Air Purification System The air purification system has a cement base, and the main metal base housing of the filter system holds up the upper structure. The base may also have elevator access for workers to use for any repair work easily. Above the main base may be long cylinder connector pieces that connect many stories tall for the air to be cleaned at higher levels. Located at the top of the long cylinder connectors is the air purification system that cleans the entire area. Housed inside may be a jet-like vacuum powered fan that pulls in all the polluted and unfiltered air.",3,100,True,True,2026,7,3,application,1,True
100490186,US,20260205319,A1,ELECTRONIC APPARATUS AND METHOD FOR OPERATING THE SAME AND STORAGE MEDIUM,"[0000] An electronic apparatus is provided. The electronic apparatus comprises a communication circuit, memory, comprising one or more storage media, storing instructions and at least one processor including processing circuitry communicatively coupled to the communication circuit and the memory, wherein the instructions, when executed by the at least one processor individually or collectively, cause the electronic apparatus to identify at least one device corresponding to a frequency of state changes greater than or equal to a first frequency, based on state information of each of at least one first subscription device that is a target of subscription of state information among a plurality of devices, based on a first device among the identified at least one device not satisfying a first condition, determine subscription state information of the first device to be included in subscription information, and obtain state information of at least one second subscription device that is a target of subscription of state information based on the subscription information corresponding to the determined subscription state information of the first device from an external device through the communication circuit, and wherein the subscription information includes subscription state information corresponding to each of the plurality of devices, and wherein the subscription state information includes information indicating whether the state information of the corresponding device is a target of subscription.",2026-07-16,['air purifier'],air_purifier,air purifier,US20260205319A1,"ELECTRONIC APPARATUS AND METHOD FOR OPERATING THE SAME AND STORAGE MEDIUM [0000] An electronic apparatus is provided. The electronic apparatus comprises a communication circuit, memory, comprising one or more storage media, storing instructions and at least one processor including processing circuitry communicatively coupled to the communication circuit and the memory, wherein the instructions, when executed by the at least one processor individually or collectively, cause the electronic apparatus to identify at least one device corresponding to a frequency of state changes greater than or equal to a first frequency, based on state information of each of at least one first subscription device that is a target of subscription of state information among a plurality of devices, based on a first device among the identified at least one device not satisfying a first condition, determine subscription state information of the first device to be included in subscription information, and obtain state information of at least one second subscription device that is a target of subscription of state information based on the subscription information corresponding to the determined subscription state information of the first device from an external device through the communication circuit, and wherein the subscription information includes subscription state information corresponding to each of the plurality of devices, and wherein the subscription state information includes information indicating whether the state information of the corresponding device is a target of subscription.",11,219,True,True,2026,7,3,application,1,True
98604360,US,20260206050,A1,INTERCELL COORDINATION FOR INTERFERENCE ESTIMATION AND NULLING,"[0000] A method for wireless communication at a first network entity and related apparatus are provided. In the method, the first network entity receives an inter-cell interference coordination (ICIC) message from a second network entity over an Xn interface between the second network entity and the first network entity. The ICIC message includes at least one of a set of start and length indicator value (SLIV) patterns or a bitmap for uplink or downlink transmissions of the second network entity with a user equipment (UE). The first network entity further performs an interference reduction process based on the ICIC message within a first ICIC period.",2026-07-16,['small kitchen appliance'],compact_size,small kitchen appliance,US20260206050A1,"INTERCELL COORDINATION FOR INTERFERENCE ESTIMATION AND NULLING [0000] A method for wireless communication at a first network entity and related apparatus are provided. In the method, the first network entity receives an inter-cell interference coordination (ICIC) message from a second network entity over an Xn interface between the second network entity and the first network entity. The ICIC message includes at least one of a set of start and length indicator value (SLIV) patterns or a bitmap for uplink or downlink transmissions of the second network entity with a user equipment (UE). The first network entity further performs an interference reduction process based on the ICIC message within a first ICIC period.",7,105,True,True,2026,7,3,application,1,True
100489835,US,20260202235,A1,Handheld Digital Scale with Interchangeable Head,"[0000] A handheld digital scale with an interchangeable head is provided. The handheld digital scale includes a scale body with a digital display on its surface and user input buttons, including a tare function and unit selection for switching between measurement units. The scale body includes a female fastener that can removably attach to the interchangeable head. The interchangeable head includes a recess at one end to hold materials and a male fastener at the opposite end for secure attachment to the scale body. The scale detects the weight of materials placed within the recess and displays the measurement on the digital display. The interchangeable heads are available in various forms, such as spoons, scoops, or bowls, to accommodate different materials, including food items like protein powder and peanut butter. The scale further integrates ergonomic design features for user comfort and optional wireless connectivity for data tracking via a software application.",2026-07-16,['dishwasher'],dishwasher,dishwasher,US20260202235A1,"Handheld Digital Scale with Interchangeable Head [0000] A handheld digital scale with an interchangeable head is provided. The handheld digital scale includes a scale body with a digital display on its surface and user input buttons, including a tare function and unit selection for switching between measurement units. The scale body includes a female fastener that can removably attach to the interchangeable head. The interchangeable head includes a recess at one end to hold materials and a male fastener at the opposite end for secure attachment to the scale body. The scale detects the weight of materials placed within the recess and displays the measurement on the digital display. The interchangeable heads are available in various forms, such as spoons, scoops, or bowls, to accommodate different materials, including food items like protein powder and peanut butter. The scale further integrates ergonomic design features for user comfort and optional wireless connectivity for data tracking via a software application.",6,151,True,True,2026,7,3,application,1,True
