family_id,country,doc_number,kind,title,abstract,publication_date,keywords
100310554,DE,102025100779,A1,"Verwenden, Brühkapsel und Siebträgermaschine","Gemäß verschiedenen Ausführungsformen erfolgt ein Verwenden einer Siebträgermaschine zum Aufbrühen eines von Kaffee verschiedenen Brühguts, das in einem Siebträger der Siebträgermaschine aufgenommen ist.",20260716,['espresso machine']
100485936,US,D1133689,S,Espresso machine,,20260714,['espresso machine']
100286748,CN,224420769,U,一种咖啡压粉器,本申请提供一种咖啡压粉器，咖啡压粉器包括手柄、布粉针组件和压粉组件；手柄设有第一容纳腔和第二容纳腔，该第一容纳腔具有顶部开口；盖体连接于手柄，并能够盖合第一容纳腔的顶部开口；连接座连接于盖体，并支撑各个布粉针；各个布粉针均能够容纳于同一第一容纳腔，并随着盖体脱离顶部开口而脱离第一容纳腔；压粉组件包括第一连接杆和压片；第一连接杆容纳于第二容纳腔，并可拆卸地连接于手柄；压片可拆卸地连接于第一连接杆，压片用于挤压咖啡粉，以便于在同一咖啡压粉器中集成布粉功能与压粉功能，用户无需更换工具即可完成布粉与压粉两步操作，有效提升了操作效率，丰富了咖啡压粉器的功能性。,20260630,['espresso machine']
100250418,CN,122280833,A,一种小体积高精度自动变压水泵控制装置,[0001]    本发明涉及流体压力控制装置技术领域，具体涉及一种小体积高精度自动变压水泵控制装置。该装置包括水泵、阀体、电机、进给滑块、弹性元件、密封杆、密封垫、压力传感器及控制系统。水泵将水源抽入设有出水通道和泄压通道的阀体，泄压通道由密封垫与密封杆紧密接触进行封堵。电机驱动进给滑块位移以挤压弹性元件，通过弹性元件压力控制密封杆的密封力。当水泵产生的压力大于弹性元件设定的压力时，泄压口打开实现自动稳压。出水口处的压力传感器实时监测压力并反馈给电机控制系统进行闭环调节。本发明利用电机进给距离与压力的线性关联，实现了输出压力的精准自动调节，且结构简洁、体积小巧，能够灵活应用于各个领域。,20260626,['espresso machine']
100217092,WO,2026128973,A1,"COFFEE BEAN GRINDER, METHOD, AND ESPRESSO MACHINE","A coffee bean grinder (100) includes a housing with a sound emitter (740) and sound sensor (750), a hopper (150) for storing and feeding coffee beans to a grinding mechanism, an output device (760), and a controller (702) electrically coupled with the sound emitter (740), sound sensor (750), and output device (760). The controller (702) includes a processor (710) and memory (720) with stored instructions. Execution of the instructions causes the controller (702) to control the sound emitter (740) to output a sound wave, sample the sound sensor (750) to obtain a measurement, determine whether the hopper (150) is empty, and control the output device (760) to indicate the hopper (150) is empty.",20260625,['espresso machine']
95123581,WO,2026133117,A1,ESPRESSO MACHINE WITH MICROWAVE OR INDUCTION WATER HEATING,"The invention is a new machine for making and dispensing espresso coffee, comprising at least one microwave or induction water heating system connected to the water mains by means of a duct (G3) and to the portafilter housings (U) by means of a delivery duct (G1). The machine also comprises at least one automatic water filling valve (A) and at least one return duct (G2), wherein a pump (P) keeps the water flowing in said delivery duct (G1) and in said return duct (G2).",20260625,['espresso machine']
94599382,WO,2026132580,A2,BEVERAGE CAPSULE,"A capsule for use in a coffee machine having a brew chamber, which capsule is formed from a ductile metal such as aluminium. The capsule has a generally hemispherical form with an upper surface and a lower surface, an annular flange being provided at the lower surface. The capsule is provided with a beverage precursor and is closed by a foil, wherein the foil has a diameter which is greater than the outer diameter of the capsule.",20260625,['espresso machine']
94599403,WO,2026132581,A2,BEVERAGE CAPSULE,"A capsule for use in a coffee machine having a brew chamber, which capsule is formed from a ductile metal such as aluminium. The capsule has a generally hemispherical form with an upper surface and a lower surface, an annular flange being provided at the lower surface. The capsule wall has an outer profile, which outer profile comprises a plurality of ribs and/or recesses, the diameter of the capsule being less than the diameter of a further, coded capsule body. The plurality of ribs and/or recesses are arranged on the surface of the capsule body so that the distance between the outer profile of the capsule body and the inner profile of the coded capsule is less than the difference between the respective diameters of the coded capsule body and the capsule body.",20260625,['espresso machine']
100437660,KR,20260097636,A,Melting coffee in the form of coffee beans mixed with functional powder and a method of manufacturing it,"본 발명은 녹여먹을 수 있는 원두 모양 커피와 그 제조 방법에 관한 것으로, 보다 구체적으로는 원두커피에서 추출한 액체 커피에 기능성 분말을 혼합하여 원두 형태로 재가공한 것이다. 이를 통해 물 없이 입 안에서 쉽게 녹여 먹을 수 있으며, 커피의 부족한 영양소를 보충하고 커피의 향과 맛을 더 오래 유지할 수 있게 했다. 또한, 이러한 성분들을 혼합하여 원두 본연의 모양으로 재가공함으로써 소비자의 관심을 끌 수 있어 식품 산업에서 유용한 발명이다.",20260625,['espresso machine']
100437667,KR,20260097641,A,Processing and manufacturing of coffee beans using powder coating process,"[0001a]    [본 발명은 커피원두에 특정 분말을 입히는 기술과 이 방법으로 제조된 커피원두에 관한 것이다. 본 발명의 예시로는, 쌀을 주재료로 하여 풀 형태의 코팅액을 준비하는 과정과, 이 코팅액을 사용하여 커피원두 표면에 코팅층을 형성한 후, 해당 코팅층 위에 분말을 도포하는 과정을 포함하는 커피원두 코팅 방법을 제안한다.]",20260625,['espresso machine']
